"Item","Description","Start Date","End Date","Theme","Team","Owner","Status","Complete","Horizon","Business Value"
"Database Improvements","","2020-01-09","2020-03-08","Infrastructure","Infrastructure","John","Complete","100%","Horizon 1","5"
"Library Upgrades","","2020-04-01","2020-07-29","Infrastructure","Infrastructure","John","Backlog","15%","Horizon 2","50"
"Data Dump","","2020-05-09","2020-06-16","Infrastructure","Infrastructure","Frank","Backlog","0%","Horizon 3","22"
"Update API Documentation","","2020-02-28","2020-05-31","Infrastructure","Infrastructure","John","In Development","60%","Horizon 1","80"
"Optimize Server Serialization","","2020-06-15","2020-09-14","Infrastructure","Infrastructure","Jessica","Backlog","0%","Horizon 3","40"
"iOS app","","2019-12-08","2020-02-22","New Features","Mobile","Ben","Backlog","0%","Horizon 1","30"
"Android app","","2020-01-01","2020-04-02","New Features","Mobile","John","Backlog","100%","Horizon 1","25"
"Facebook Integration","","2020-05-28","2020-09-12","Integrations","Mobile","Jessica","In Design","40%","Horizon 2","25"
"Push Notifications","","2020-07-31","2020-11-05","Stickiness","Mobile","Carry","Backlog","0%","Horizon 2","50"
"Apple Pay","","2020-03-04","2020-06-03","Improvements","Mobile","Jessica","Complete","40%","Horizon 3","14"
"Help Bot","","2020-01-01","2020-02-14","Stickiness","Help Desk","Ben","Complete","100%","Horizon 3","33"
"Search Improvements","","2020-07-10","2020-11-18","Testing","Help Desk","Ben","In Development","0%","Horizon 1","42"
"Accessibility Improvements","","","","New Features","Help Desk","Jessica","Backlog","50%","Horizon 3","95"
"Update Navigation","","2020-03-12","2020-05-15","Improvements","Help Desk","Frank","Backlog","80%","Horizon 2","80"
"Reskin Shopping Cart","","","","Improvements","Webstore","Jessica","In Development","40%","Horizon 1","72"
"Abandon Cart Widget","","2020-04-17","2020-06-29","New Features","Webstore","Jones","Backlog","10%","Horizon 1","66"
"Responsive eCommerce site","","2019-12-30","2020-03-29","New Features","Webstore","John","Complete","100%","Horizon 1","55"
"Guest Checkout Improvement","","","","Improvements","Webstore","Frank","In Development","0%","Horizon 2","45"
"Two-Day Shipping","","2020-04-20","2020-11-04","New Features","Webstore","Jessica","In Design","20%","Horizon 3","87"
"PCI Compliance","","2020-02-02","2020-05-02","Security","Webstore","Ben","In Development","30%","Horizon 3","87"
"Two-Factor Authentication","","2020-01-23","2020-03-20","New Features","Self Serve","John","Backlog","100%","Horizon 2","54"
"Single Sign-On","","2020-04-09","2020-07-07","Improvements","Self Serve","Jones","In Design","80%","Horizon 2","12"
"Reward (Progress Bar)","","2020-06-02","2020-08-25","Stickiness","Self Serve","Frank","In Development","80%","Horizon 3","34"
"User Avatar","","","","New Features","Self Serve","Jessica","In Design","0%","Horizon 1","66"
"Language Localization","","2020-02-03","2020-05-25","Stickiness","Self Serve","Frank","In Development","100%","Horizon 3","55"
"Forgot Password Improvement","","2020-03-31","2020-07-18","New Features","Self Serve","Jones","In Development","75%","Horizon 2","44"
"Multi-Account","","2020-08-08","2020-10-11","Stickiness","Self Serve","Jones","In Design","0%","Horizon 2","22"